epoch,train_loss,validation_loss,validation_macro_f1,validation_accuracy,architecture,regime,seed
6,0.3183294673586143,0.1470132733042213,0.9663511164688448,0.9638752052545156,resnet50,balanced_ce,42
7,0.2070081322651965,0.222579548903091,0.9262167158136576,0.9113300492610836,resnet50,balanced_ce,42
8,0.2315606660604058,0.1360920181341946,0.959976076054067,0.9573070607553368,resnet50,balanced_ce,42
9,0.1623016272074099,0.1515840263412642,0.9577998987760488,0.9523809523809524,resnet50,balanced_ce,42
10,0.2013501955166799,0.1771148817953217,0.9366863941935076,0.9277504105090312,resnet50,balanced_ce,42
11,0.1618963041210216,0.1222891746569051,0.9694263050129271,0.9671592775041052,resnet50,balanced_ce,42
12,0.1392853749290711,0.0711429949134147,0.9782104465758358,0.9786535303776684,resnet50,balanced_ce,42
13,0.1347995538532943,0.4994800603690087,0.8432862721355289,0.8111658456486043,resnet50,balanced_ce,42
14,0.1020511126122805,0.2622026367986252,0.9004385446631049,0.8899835796387521,resnet50,balanced_ce,42
15,0.094675567634862,0.0980202629282433,0.9719337898678015,0.9688013136289,resnet50,balanced_ce,42
16,0.0644291837094106,0.0787715340210568,0.9803714480761504,0.9786535303776684,resnet50,balanced_ce,42
17,0.069042356205803,0.1077746280130363,0.960486843376526,0.9540229885057472,resnet50,balanced_ce,42
18,0.0694307978899236,0.1715902522198564,0.9448663746952604,0.9392446633825944,resnet50,balanced_ce,42
19,0.0909687530908566,0.0414238268439161,0.98740381106521,0.986863711001642,resnet50,balanced_ce,42
20,0.0566583867967194,0.0109453170727277,0.9985177908945,0.9983579638752051,resnet50,balanced_ce,42
21,0.0443155606185218,0.0213401996366578,0.994426588159032,0.993431855500821,resnet50,balanced_ce,42
22,0.0286297131664494,0.0157050520926273,0.9985177908945,0.9983579638752051,resnet50,balanced_ce,42
23,0.0400467616947848,0.0716845539352326,0.9788871855245996,0.973727422003284,resnet50,balanced_ce,42
24,0.0310595455662116,0.013160270873984,0.9958994372226762,0.9950738916256158,resnet50,balanced_ce,42
25,0.0297828616990351,0.0450963033611758,0.9859408070299734,0.9835796387520526,resnet50,balanced_ce,42
26,0.0154800935145483,0.0070428926076404,0.9972060312628028,0.9967159277504104,resnet50,balanced_ce,42
27,0.0107760859065752,0.0218514664790868,0.9919465402242218,0.9901477832512317,resnet50,balanced_ce,42
28,0.0040497857146374,0.0220821759677285,0.9942356444514716,0.993431855500821,resnet50,balanced_ce,42
1,1.5242366888820602,1.1422643224985534,0.2705562431628479,0.3940886699507389,resnet50,focal_loss,1337
2,1.0305630848780667,0.860532283978705,0.4805640684067706,0.5977011494252874,resnet50,focal_loss,1337
3,0.6942370817615194,0.4707804203816431,0.7932712103607917,0.7848932676518884,resnet50,focal_loss,1337
4,0.5110847908708878,0.4934068313373133,0.7285298313073415,0.729064039408867,resnet50,focal_loss,1337
5,0.486216245049542,0.4883967066437544,0.7483297094639996,0.7405582922824302,resnet50,focal_loss,1337
6,0.4507704889313408,0.4265148876531566,0.7825900442464842,0.7733990147783252,resnet50,focal_loss,1337
7,0.4103609296789487,0.3923699296949728,0.7944902551465777,0.7816091954022989,resnet50,focal_loss,1337
8,0.4037404918607802,0.4259283926295138,0.7654076609106348,0.7586206896551724,resnet50,focal_loss,1337
9,0.389736573683566,0.3835096578488404,0.8124660961092659,0.7931034482758621,resnet50,focal_loss,1337
10,0.3525810051676678,0.4151292178039676,0.7958073718930144,0.7898193760262726,resnet50,focal_loss,1337
11,0.3780449071437487,0.3979815974807112,0.7942031854279759,0.7865353037766831,resnet50,focal_loss,1337
12,0.3444802306238922,0.4074647802437467,0.8001202617253744,0.7816091954022989,resnet50,focal_loss,1337
13,0.3518533171375522,0.3301437889609626,0.8517662445159782,0.8357963875205254,resnet50,focal_loss,1337
14,0.3275536095530371,0.352187334952879,0.835707028159635,0.825944170771757,resnet50,focal_loss,1337
15,0.3236432137619213,0.3943185965807371,0.8279730739910506,0.8160919540229885,resnet50,focal_loss,1337
16,0.3066575156364374,0.3253064032258658,0.8552192439634915,0.8440065681444991,resnet50,focal_loss,1337
17,0.3052594741639437,0.3530340848493654,0.8439710590558153,0.8308702791461412,resnet50,focal_loss,1337
18,0.3057209197896646,0.2889627588206324,0.8631124321199592,0.8522167487684729,resnet50,focal_loss,1337
19,0.308938510032446,0.281177136013269,0.8608358645675721,0.8555008210180624,resnet50,focal_loss,1337
20,0.2896112542475045,0.3323455367769514,0.8390478612797176,0.825944170771757,resnet50,focal_loss,1337
21,0.2865303169863923,0.3648172331169517,0.8179373772505154,0.80623973727422,resnet50,focal_loss,1337
22,0.2897703123846875,0.396485813341313,0.8067355801513143,0.8013136288998358,resnet50,focal_loss,1337
23,0.2714868620771306,0.3165221800553583,0.8522402554616691,0.8423645320197044,resnet50,focal_loss,1337
24,0.2932591996995343,0.3302001283673817,0.8386349689373322,0.8275862068965517,resnet50,focal_loss,1337
